,Uniform,Gaussian,Nearly Sorted,Fully Sorted,Reversed,Few Unique Values
89,3822,1215,2309,89,9910,9
90,2567,-14885,90,90,9909,3
91,556,195,91,91,9908,8
92,3138,-4201,92,92,9907,1
93,1823,13603,93,93,9906,8
94,4602,-7495,94,94,9905,0
95,5684,207,95,95,9904,1
96,4751,9113,96,96,9903,9
97,5072,13247,97,97,9902,3
98,5555,19561,98,98,9901,6
99,9626,6927,2316,99,9900,7
100,7601,-8878,100,100,9899,6
101,4252,-6898,101,101,9898,7
102,2753,5340,102,102,9897,4
103,5196,11670,103,103,9896,1
104,600,-3775,104,104,9895,4
105,1166,8637,105,105,9894,3
106,3820,-11022,106,106,9893,9
107,5898,-420,107,107,9892,0
108,3258,-1849,108,108,9891,6
109,8369,-787,109,109,9890,4
110,1833,-10245,110,110,9889,8
111,1701,2338,710,111,9888,1
112,8241,17017,112,112,9887,7
113,5409,-3671,113,113,9886,3
114,1902,-14094,114,114,9885,6
115,6157,20266,115,115,9884,9
116,3053,6595,116,116,9883,2
117,1767,-12646,117,117,9882,0
118,222,-1104,118,118,9881,0
119,3274,-1532,8473,119,9880,2
120,1404,9094,120,120,9879,2
121,1628,4550,121,121,9878,4
122,1717,-16176,8014,122,9877,6
123,1569,5453,123,123,9876,9
124,6854,-3735,124,124,9875,5
125,634,5037,9771,125,9874,8
126,4579,-25588,126,126,9873,5
127,9331,-8858,5951,127,9872,8
128,5940,-3869,128,128,9871,4
129,1665,-3306,129,129,9870,5
130,5668,-848,130,130,9869,4
131,592,-4279,131,131,9868,7
132,3236,5338,132,132,9867,6
133,5207,2553,9262,133,9866,6
134,8925,11634,134,134,9865,9
135,7463,14450,135,135,9864,7
136,3030,16674,136,136,9863,5
137,4979,4278,137,137,9862,3
138,5523,-10528,138,138,9861,3
139,2191,-15367,7495,139,9860,3
140,1458,352,140,140,9859,3
141,591,-16190,7285,141,9858,4
142,3215,10009,142,142,9857,2
143,1086,10071,143,143,9856,1
144,946,-9146,1503,144,9855,2
145,5185,3314,145,145,9854,5
146,712,-3268,5807,146,9853,1
147,6378,-13802,147,147,9852,3
148,4496,1849,148,148,9851,7
149,9155,-12595,149,149,9850,3
150,4782,8051,150,150,9849,5
151,9704,7242,151,151,9848,3
152,9006,6143,152,152,9847,4
153,3813,-18738,153,153,9846,4
154,750,-6378,154,154,9845,3
155,1228,-13674,155,155,9844,8
156,210,12463,156,156,9843,2
157,9497,-15902,157,157,9842,7
158,4032,-15330,158,158,9841,7
159,1615,-11961,159,159,9840,3
160,999,15145,160,160,9839,1
161,5957,9039,161,161,9838,0
162,7016,-14765,162,162,9837,5
163,2202,-21758,163,163,9836,0
164,8601,7346,164,164,9835,4
165,8667,-1300,165,165,9834,7
166,1893,-4779,166,166,9833,1
167,1286,-9257,167,167,9832,7
168,1030,-7178,9469,168,9831,9
169,8787,11022,169,169,9830,2
170,8749,4087,170,170,9829,3
171,1533,-1318,171,171,9828,2
172,280,-6710,4348,172,9827,9
173,9372,27347,173,173,9826,9
174,79,-7038,174,174,9825,2
175,6116,-16,175,175,9824,3
176,1139,3870,176,176,9823,3
177,9826,-791,7404,177,9822,4
178,1453,-9122,178,178,9821,6
179,7232,-8251,179,179,9820,9
180,6422,-18,180,180,9819,7
181,4108,4797,181,181,9818,7
182,340,2750,182,182,9817,5
183,760,-11823,183,183,9816,1
184,7819,17486,184,184,9815,3
185,6855,550,185,185,9814,2
186,8689,-8137,186,186,9813,2
187,1742,2222,6187,187,9812,3
188,3276,287,188,188,9811,0
189,5397,65,189,189,9810,4
190,9508,3890,190,190,9809,1
191,7117,7894,191,191,9808,1
192,392,14494,8872,192,9807,9
193,1590,-1471,5794,193,9806,2
194,6777,13146,194,194,9805,8
195,4963,-470,195,195,9804,0
196,8168,-9662,196,196,9803,3
197,8227,-4298,197,197,9802,2
198,8521,9938,198,198,9801,7
199,7027,21778,199,199,9800,3
200,2960,4266,200,200,9799,3
201,8366,13811,7767,201,9798,4
202,1567,6869,202,202,9797,2
203,1813,-16533,203,203,9796,2
204,6141,4752,4129,204,9795,5
205,2395,-1214,205,205,9794,4
206,5830,-9810,7732,206,9793,6
207,2408,-757,207,207,9792,1
208,2351,-9974,208,208,9791,8
209,308,8673,209,209,9790,1
210,8518,-1725,210,210,9789,6
211,3244,-3066,8467,211,9788,0
212,8536,93,3670,212,9787,6
213,5641,6768,213,213,9786,5
214,7446,440,1902,214,9785,4
215,3269,6412,4903,215,9784,4
216,4502,-3209,216,216,9783,8
217,8462,-11522,217,217,9782,9
218,9318,4352,218,218,9781,0
219,816,-10352,219,219,9780,3
220,9066,12637,220,220,9779,7
221,5964,-10012,221,221,9778,9
222,3502,-15693,222,222,9777,6
223,1603,7123,5678,223,9776,3
224,4744,9852,5974,224,9775,5
225,5002,-6532,225,225,9774,2
226,7196,-17244,226,226,9773,8
227,7627,5686,227,227,9772,0
228,6047,-3296,228,228,9771,4
229,5401,-6010,229,229,9770,3
230,6262,6599,5018,230,9769,0
231,9120,11796,231,231,9768,8
232,6801,7832,232,232,9767,2
233,1006,-13067,233,233,9766,2
234,7531,5188,234,234,9765,0
235,2924,-22,9943,235,9764,9
236,3917,-9983,3223,236,9763,6
237,4899,-9673,237,237,9762,5
238,4783,-19177,238,238,9761,9
239,2681,-17400,239,239,9760,4
240,7911,-11330,240,240,9759,6
241,9933,1871,241,241,9758,8
242,9905,2952,242,242,9757,4
243,5674,-1786,243,243,9756,7
244,4901,-33,4936,244,9755,3
245,501,8559,8889,245,9754,9
246,5403,-9282,246,246,9753,3
247,7779,848,247,247,9752,2
248,5629,1352,248,248,9751,2
249,4897,-8514,249,249,9750,5
250,8607,-2258,250,250,9749,8
251,6353,-2142,251,251,9748,1
252,4158,9339,252,252,9747,7
253,2781,-8452,253,253,9746,9
254,2777,18141,254,254,9745,3
255,3312,-13800,255,255,9744,1
256,8414,811,256,256,9743,4
257,1503,1324,257,257,9742,6
258,798,6059,258,258,9741,9
259,3970,3974,259,259,9740,5
260,986,-10812,4222,260,9739,9
261,6910,-8752,7144,261,9738,0
262,2779,3696,262,262,9737,4
263,1052,-3791,263,263,9736,8
264,7603,-8008,264,264,9735,3
265,1668,3150,265,265,9734,5
266,8835,1963,266,266,9733,4
267,180,-1138,267,267,9732,9
268,6221,-6806,268,268,9731,1
269,9254,4847,269,269,9730,2
270,7309,-11152,270,270,9729,8
271,6484,-8984,8700,271,9728,9
272,7141,12411,272,272,9727,4
273,414,13545,273,273,9726,2
274,3650,-17349,274,274,9725,4
275,1517,12658,8729,275,9724,3
276,2924,9778,276,276,9723,8
277,8521,-5454,3993,277,9722,9
278,959,-18564,278,278,9721,3
279,5335,-20431,279,279,9720,4
280,9327,11270,280,280,9719,7
281,1774,-12909,281,281,9718,8
282,3906,-1582,4532,282,9717,3
283,3237,5829,283,283,9716,9
284,1061,9102,9484,284,9715,0
285,3586,2946,285,285,9714,0
286,4384,10503,286,286,9713,9
287,6843,2097,287,287,9712,8
288,5624,-24220,288,288,9711,6
289,4287,3193,289,289,9710,2
290,9319,15433,290,290,9709,5
291,2177,-14501,291,291,9708,6
292,3580,-5585,292,292,9707,4
293,2106,-8465,293,293,9706,5
294,9452,-704,294,294,9705,7
295,3861,-7019,295,295,9704,4
296,4605,402,296,296,9703,0
297,1327,-261,297,297,9702,4
298,2824,-13503,298,298,9701,2
299,9666,-799,299,299,9700,4
300,252,3457,300,300,9699,7
301,5352,6263,4044,301,9698,9
302,3326,6376,302,302,9697,0
303,5521,-14255,7488,303,9696,3
304,3405,3267,304,304,9695,6
305,985,-7440,305,305,9694,3
306,1456,-9970,306,306,9693,9
307,2718,-14331,307,307,9692,9
308,6244,2830,308,308,9691,3
309,202,9838,309,309,9690,4
310,1224,-5342,310,310,9689,7
311,768,-4140,311,311,9688,4
312,3381,-7412,312,312,9687,5
313,8833,-1387,313,313,9686,8
314,4255,-17358,314,314,9685,4
315,4504,-25952,9787,315,9684,5
316,6149,-5048,316,316,9683,0
317,2166,-10270,317,317,9682,8
318,5923,1262,318,318,9681,4
319,2828,-5037,319,319,9680,5
320,7372,-13299,320,320,9679,6
321,9398,1775,321,321,9678,8
322,2644,-9628,322,322,9677,0
323,5218,2907,323,323,9676,9
324,4473,12757,324,324,9675,8
325,4081,-1375,2803,325,9674,4
326,5776,5827,326,326,9673,4
327,3215,-8660,327,327,9672,6
328,1255,5327,328,328,9671,0
329,7620,-9847,329,329,9670,6
330,4308,-5515,330,330,9669,6
331,1116,6482,331,331,9668,1
332,7782,-10847,332,332,9667,4
333,2618,1738,333,333,9666,7
334,6340,10156,334,334,9665,9
335,245,18681,335,335,9664,4
336,1110,-20968,1269,336,9663,4
337,7912,9854,337,337,9662,8
338,6909,-2773,6431,338,9661,6
339,7389,11225,339,339,9660,4
340,4238,393,340,340,9659,4
341,3796,-7087,341,341,9658,9
342,9830,-11753,342,342,9657,9
343,4245,-14811,343,343,9656,8
344,9758,-6443,344,344,9655,4
345,4804,-2275,345,345,9654,7
346,4736,4604,346,346,9653,9
347,8346,-12336,347,347,9652,9
348,4128,3883,348,348,9651,9
349,4090,6938,349,349,9650,0
350,6137,13954,350,350,9649,5
351,2210,-2710,1458,351,9648,5
352,9801,-16114,352,352,9647,1
353,8049,-3841,353,353,9646,5
354,6419,775,354,354,9645,2
355,2707,14979,2093,355,9644,2
356,2915,-7614,3232,356,9643,1
357,4583,8556,357,357,9642,2
358,2467,26207,358,358,9641,0
359,284,-9889,359,359,9640,5
360,1264,13635,360,360,9639,1
361,7395,-7613,361,361,9638,4
362,6896,-5429,362,362,9637,7
363,1488,-5458,363,363,9636,7
364,6474,21447,364,364,9635,4
365,2979,-1125,365,365,9634,1
366,6577,1932,366,366,9633,3
367,1978,9036,367,367,9632,1
368,5268,4343,6438,368,9631,8
369,7554,12401,369,369,9630,4
370,6144,-12339,370,370,9629,8
371,2264,-13255,371,371,9628,8
372,5978,1873,372,372,9627,5
373,3316,5647,373,373,9626,2
374,9275,-5565,1013,374,9625,8
375,9173,-3326,375,375,9624,3
376,5331,8630,376,376,9623,2
377,535,3528,377,377,9622,7
378,8850,2657,378,378,9621,1
379,7894,9689,379,379,9620,2
380,7130,2463,380,380,9619,8
381,7464,11189,381,381,9618,0
382,667,-2980,382,382,9617,8
383,1244,15561,383,383,9616,3
384,6372,2240,634,384,9615,8
385,8223,-17962,385,385,9614,5
386,1439,5555,386,386,9613,1
387,3265,-3041,387,387,9612,8
388,1234,-7192,388,388,9611,1
389,1381,10234,389,389,9610,7
390,5740,4176,390,390,9609,4
391,3990,7782,391,391,9608,0
392,2025,4259,392,392,9607,5
393,3519,-4305,393,393,9606,9
394,4394,-6751,3708,394,9605,2
395,9694,3084,395,395,9604,8
396,5924,-14712,396,396,9603,4
397,5123,-14341,397,397,9602,7
398,8108,3354,4564,398,9601,9
399,3230,22070,399,399,9600,0
400,6746,3633,400,400,9599,5
401,4802,2423,401,401,9598,4
402,8772,28681,9861,402,9597,6
403,719,-9974,403,403,9596,2
404,7160,566,404,404,9595,3
405,3063,13993,2239,405,9594,3
406,4206,-8313,406,406,9593,8
407,9023,3942,407,407,9592,6
408,9520,10659,408,408,9591,0
409,233,-2031,409,409,9590,7
410,7254,-6005,410,410,9589,2
411,1391,-24465,833,411,9588,4
412,5235,-13567,412,412,9587,1
413,4644,3625,413,413,9586,5
414,1096,-1199,924,414,9585,2
415,9325,2902,415,415,9584,4
416,7240,-5785,416,416,9583,4
417,8328,-4213,417,417,9582,3
418,2534,-8533,418,418,9581,8
419,3509,1430,419,419,9580,6
420,3100,18735,420,420,9579,0
421,5259,-5608,421,421,9578,8
422,2533,-4370,422,422,9577,8
423,6872,-1065,312,423,9576,3
424,4673,-9153,424,424,9575,1
425,658,19096,425,425,9574,0
426,3223,7565,426,426,9573,0
427,9831,9884,427,427,9572,5
428,4583,4632,428,428,9571,2
429,1096,-9954,429,429,9570,9
430,2813,-6775,430,430,9569,8
431,5394,-20445,431,431,9568,6
432,8634,-15294,14,432,9567,6
433,5579,4527,433,433,9566,7
434,393,3781,434,434,9565,7
435,1754,-22874,435,435,9564,5
436,8199,-19719,436,436,9563,5
437,5637,-20397,437,437,9562,2
438,9144,-3731,438,438,9561,4
439,6760,13404,439,439,9560,1
440,4185,-3768,440,440,9559,0
441,5326,4323,7519,441,9558,7
442,6109,11756,442,442,9557,5
443,3478,11393,443,443,9556,9
444,8811,-2304,9936,444,9555,3
445,4859,2145,445,445,9554,1
446,5369,-26930,446,446,9553,1
447,642,-1221,447,447,9552,9
448,9715,-18640,448,448,9551,2
449,7132,3159,449,449,9550,3
450,9047,-1777,450,450,9549,1
451,7458,-6116,451,451,9548,1
452,8251,28189,452,452,9547,0
453,1647,-3191,453,453,9546,2
454,8282,2813,454,454,9545,3
455,8134,-2785,455,455,9544,3
456,1577,-10122,456,456,9543,3
457,8037,-7657,9760,457,9542,9
458,289,2528,458,458,9541,4
459,2626,-4335,459,459,9540,0
460,7766,-5190,460,460,9539,8
461,5054,-63,6304,461,9538,2
462,5325,5846,462,462,9537,8
463,6221,3882,463,463,9536,3
464,520,-12620,464,464,9535,7
465,3913,4626,465,465,9534,4
466,4877,-166,466,466,9533,7
467,1504,-12878,8959,467,9532,6
468,6191,3632,468,468,9531,4
469,6091,-16694,7090,469,9530,9
470,9557,2834,470,470,9529,4
471,8638,-4693,471,471,9528,3
472,2452,-2074,472,472,9527,9
473,2581,2126,473,473,9526,1
474,4462,-7015,474,474,9525,1
475,4132,12049,475,475,9524,4
476,100,-8151,476,476,9523,0
477,4685,1904,477,477,9522,1
478,2384,1603,478,478,9521,0
479,9177,12528,479,479,9520,0
480,8865,15963,480,480,9519,9
481,9541,3639,481,481,9518,3
482,9700,-7743,482,482,9517,4
483,3673,17502,483,483,9516,7
484,4176,2509,4,484,9515,0
485,2730,4988,485,485,9514,0
486,4138,12231,486,486,9513,1
487,6852,-8328,487,487,9512,2
488,8205,11697,488,488,9511,7
489,1702,-5956,489,489,9510,3
490,3499,-559,490,490,9509,2
491,274,-9997,491,491,9508,7
492,8639,-20668,492,492,9507,7
493,4061,11262,493,493,9506,8
494,332,976,494,494,9505,0
495,3400,1628,8303,495,9504,6
496,6334,-8467,496,496,9503,7
497,3912,-7309,497,497,9502,4
498,8074,9630,498,498,9501,0
499,3378,-11008,499,499,9500,1
500,8337,-12173,500,500,9499,8
501,5662,17005,501,501,9498,0
502,8984,6587,502,502,9497,0
503,1023,4104,503,503,9496,3
504,7365,-911,504,504,9495,4
505,8750,2986,505,505,9494,3
506,13,-1299,506,506,9493,7
507,9063,2925,12,507,9492,0
508,4893,-5382,508,508,9491,3
509,6575,20607,509,509,9490,3
510,9593,2505,510,510,9489,3
511,5468,13395,511,511,9488,2
512,7444,-3048,512,512,9487,4
513,270,3199,513,513,9486,2
514,3029,-1287,514,514,9485,9
515,1203,16142,515,515,9484,8
516,5563,-3505,516,516,9483,8
517,6929,-8206,517,517,9482,4
518,983,-1680,518,518,9481,1
519,5697,-8641,519,519,9480,2
520,3761,2047,520,520,9479,4
521,9356,-5846,521,521,9478,8
522,195,-2979,8865,522,9477,1
523,3440,-25119,523,523,9476,3
524,1024,29166,524,524,9475,7
525,3143,-662,525,525,9474,3
526,7144,-4987,526,526,9473,5
527,2613,-27706,527,527,9472,8
528,4161,6436,528,528,9471,2
529,2734,-3739,529,529,9470,7
530,9966,-3152,530,530,9469,6
531,6654,-5671,531,531,9468,0
532,8264,15249,532,532,9467,9
533,3157,-30179,533,533,9466,6
534,7975,-26061,534,534,9465,4
535,453,11943,751,535,9464,0
536,711,13225,536,536,9463,2
537,6525,-2160,5352,537,9462,6
538,259,-12172,538,538,9461,0
539,4525,5293,539,539,9460,8
540,2826,12523,540,540,9459,4
541,4987,3240,541,541,9458,3
542,6785,-3251,542,542,9457,2
543,1523,-4937,543,543,9456,9
544,4726,-16041,544,544,9455,2
545,3655,-5872,545,545,9454,1
546,8223,1641,871,546,9453,5
547,5454,-11803,547,547,9452,3
548,9570,-17651,548,548,9451,0
549,6645,-2311,549,549,9450,8
550,7572,-19778,550,550,9449,0
551,7519,-4675,551,551,9448,8
552,4244,-13461,552,552,9447,2
553,9383,-4358,1624,553,9446,4
554,1174,-4373,554,554,9445,2
555,424,-3103,555,555,9444,1
556,3769,25280,556,556,9443,7
557,7055,18433,557,557,9442,6
558,5435,-3381,558,558,9441,5
559,904,-6113,559,559,9440,1
560,6535,7064,8700,560,9439,0
561,7545,17954,561,561,9438,7
562,8304,-13055,562,562,9437,0
563,8280,9491,563,563,9436,3
564,2327,-3503,564,564,9435,9
565,5835,-7747,565,565,9434,2
566,960,7454,566,566,9433,4
567,6058,13828,567,567,9432,6
568,3361,6980,8952,568,9431,7
569,1053,-8988,569,569,9430,0
570,3508,-4620,570,570,9429,5
571,3246,-6215,571,571,9428,0
572,9294,-1632,572,572,9427,6
573,7772,-1043,573,573,9426,1
574,5757,11273,574,574,9425,3
575,1950,-7915,575,575,9424,0
576,5580,2147,576,576,9423,9
577,2493,-6911,577,577,9422,5
578,6287,-9588,9025,578,9421,3
579,8888,5551,579,579,9420,0
580,6877,-15741,4233,580,9419,9
581,6325,16028,581,581,9418,2
582,4786,-1242,582,582,9417,9
583,5239,2133,7715,583,9416,9
584,9993,-13795,584,584,9415,3
585,4659,-19275,585,585,9414,4
586,8737,1603,586,586,9413,0
587,4488,-2472,587,587,9412,1
588,665,-1120,588,588,9411,0
589,190,-9467,589,589,9410,2
590,500,-11283,590,590,9409,6
591,319,929,591,591,9408,4
592,573,-631,592,592,9407,1
593,381,-8720,593,593,9406,6
594,4767,8650,211,594,9405,9
595,2671,918,595,595,9404,8
596,7761,-6013,596,596,9403,2
597,2611,13245,597,597,9402,3
598,570,-7127,598,598,9401,2
599,3834,18416,599,599,9400,3
600,6940,4716,5982,600,9399,4
601,3264,5270,601,601,9398,3
602,4431,-8944,602,602,9397,5
603,328,6207,603,603,9396,1
604,2584,827,604,604,9395,0
605,3421,-5162,2242,605,9394,5
606,4819,-12577,606,606,9393,9
607,3000,-7684,607,607,9392,2
608,9117,-2196,608,608,9391,4
609,8227,11873,609,609,9390,4
610,1341,-5569,610,610,9389,9
611,8482,-6652,611,611,9388,2
612,1478,3268,612,612,9387,7
613,1256,-8014,3289,613,9386,5
614,3850,10795,614,614,9385,4
615,1809,-11846,615,615,9384,9
616,1525,-12521,616,616,9383,4
617,9534,10751,617,617,9382,3
618,4644,-12496,6284,618,9381,4
619,1459,-13671,8145,619,9380,2
620,3297,-1256,620,620,9379,6
621,1670,-2263,621,621,9378,3
622,6433,-2447,622,622,9377,9
623,2414,8481,0,623,9376,0
624,6471,-5348,624,624,9375,0
625,2520,-3250,625,625,9374,8
626,7718,-6645,626,626,9373,1
627,5895,-232,4547,627,9372,1
628,9999,10447,628,628,9371,9
629,5612,11577,629,629,9370,9
630,6598,-2589,630,630,9369,7
631,9216,-6253,631,631,9368,9
632,906,2500,632,632,9367,9
633,3537,-7314,633,633,9366,4
634,8267,12479,634,634,9365,0
635,2745,-11485,635,635,9364,4
636,2367,6168,636,636,9363,7
637,1919,13083,637,637,9362,4
638,576,21057,638,638,9361,0
639,5024,5145,639,639,9360,3
640,948,-2423,640,640,9359,4
641,4737,-5929,641,641,9358,5
642,1628,11091,642,642,9357,1
643,1439,10129,643,643,9356,1
644,4569,5877,644,644,9355,8
645,9548,10576,645,645,9354,9
646,4873,12280,646,646,9353,9
647,8812,-15605,647,647,9352,0
648,5589,-8424,648,648,9351,2
649,704,-7672,649,649,9350,5
650,9871,-10707,650,650,9349,7
651,2435,12479,651,651,9348,9
652,3912,-6766,652,652,9347,2
653,8826,3504,653,653,9346,6
654,4088,-17207,6355,654,9345,4
655,9856,-7227,655,655,9344,8
656,708,-20818,656,656,9343,5
657,7016,4000,657,657,9342,6
658,6383,-9015,658,658,9341,2
659,358,-14692,659,659,9340,3
660,6026,10704,660,660,9339,8
661,5784,-1622,661,661,9338,9
662,6032,10144,662,662,9337,7
663,5605,9330,663,663,9336,0
664,2950,-13617,664,664,9335,7
665,3554,1589,665,665,9334,8
666,4525,-13400,666,666,9333,4
667,4018,11559,7131,667,9332,0
668,7319,1624,668,668,9331,3
669,5709,1883,669,669,9330,9
670,6127,-11654,670,670,9329,2
671,4460,14153,671,671,9328,5
672,1857,12843,672,672,9327,8
673,3674,-7743,673,673,9326,1
674,6979,22434,674,674,9325,7
675,2435,2858,675,675,9324,5
676,9680,6236,676,676,9323,3
677,1797,6815,677,677,9322,8
678,360,-2368,678,678,9321,5
679,3818,3581,679,679,9320,5
680,3566,17748,680,680,9319,5
681,7352,10155,681,681,9318,1
682,656,5490,682,682,9317,5
683,9481,-5996,683,683,9316,4
684,7827,7067,684,684,9315,2
685,6703,-7254,685,685,9314,3
686,3321,2860,686,686,9313,7
687,7585,-4129,687,687,9312,6
688,1293,-15398,688,688,9311,2
689,8739,826,689,689,9310,0
690,6681,282,690,690,9309,2
691,6325,11293,691,691,9308,4
692,971,-8908,692,692,9307,2
693,1051,14643,2002,693,9306,8
694,5377,6267,4606,694,9305,9
695,9075,10849,695,695,9304,6
696,8851,3388,696,696,9303,9
697,7718,4274,697,697,9302,1
698,5577,-7965,9251,698,9301,9
699,6859,11223,7120,699,9300,0
700,2652,-4516,700,700,9299,1
701,6779,2149,701,701,9298,6
702,9084,-15242,702,702,9297,3
703,9304,7978,4530,703,9296,3
704,9581,-9682,7918,704,9295,1
705,784,5338,705,705,9294,7
706,3120,6222,706,706,9293,4
707,6872,1924,707,707,9292,6
708,5312,-3879,708,708,9291,5
709,4861,3616,709,709,9290,4
710,9187,15449,710,710,9289,6
711,6636,-8952,711,711,9288,4
712,4954,-14034,3553,712,9287,3
713,3057,14804,713,713,9286,0
714,659,-5929,714,714,9285,6
715,7190,-6657,715,715,9284,0
716,3052,-11983,716,716,9283,6
717,3329,-4682,717,717,9282,6
718,4926,5145,718,718,9281,6
719,474,7068,719,719,9280,1
720,7736,-56,720,720,9279,4
721,839,7964,721,721,9278,2
722,3058,18552,722,722,9277,1
723,2630,5350,723,723,9276,1
724,2144,-9984,724,724,9275,0
725,4878,-3923,725,725,9274,5
726,1739,19584,726,726,9273,4
727,9914,-6636,4498,727,9272,9
728,4098,5114,728,728,9271,2
729,3575,-34206,729,729,9270,1
730,6182,3426,730,730,9269,3
731,5418,2657,731,731,9268,3
732,8616,3853,732,732,9267,8
733,9006,16086,733,733,9266,2
734,3526,9034,734,734,9265,2
735,9040,-3717,735,735,9264,8
736,3881,-13694,3635,736,9263,8
737,9753,5057,737,737,9262,2
738,1545,9597,738,738,9261,7
739,4465,-13142,739,739,9260,2
740,2322,1101,4630,740,9259,9
741,9514,-7069,741,741,9258,1
742,1286,2768,742,742,9257,0
743,5712,-1288,743,743,9256,9
744,4623,-11056,4543,744,9255,1
745,2714,-5087,745,745,9254,5
746,3969,-5132,3255,746,9253,6
747,1670,12834,747,747,9252,0
748,158,-25150,748,748,9251,1
749,3188,887,9327,749,9250,7
750,1302,19487,750,750,9249,7
751,5168,-19072,751,751,9248,2
752,6851,1602,752,752,9247,7
753,3980,4117,753,753,9246,0
754,8031,-11375,754,754,9245,8
755,8428,-10282,755,755,9244,6
756,9881,-4220,756,756,9243,9
757,1062,-3304,757,757,9242,6
758,9148,20668,2198,758,9241,8
759,2630,16088,736,759,9240,6
760,5423,2898,760,760,9239,4
761,9178,40,761,761,9238,0
762,6673,16607,762,762,9237,8
763,5582,-3788,763,763,9236,4
764,2052,-8433,764,764,9235,0
765,2584,296,765,765,9234,7
766,2130,-28841,766,766,9233,3
767,9827,-5762,767,767,9232,6
768,1505,-8572,768,768,9231,5
769,1887,10621,769,769,9230,2
770,4387,-14371,770,770,9229,8
771,5018,-1717,771,771,9228,1
772,823,-1017,772,772,9227,9
773,586,-5821,773,773,9226,2
774,3368,4223,774,774,9225,9
775,1297,-2285,775,775,9224,4
776,5370,-9822,776,776,9223,4
777,1683,1968,777,777,9222,9
778,3920,11971,778,778,9221,9
779,9373,-12,779,779,9220,8
780,3317,8734,780,780,9219,7
781,5745,1164,781,781,9218,0
782,3913,11057,782,782,9217,8
783,3221,-16060,783,783,9216,0
784,1765,-22103,784,784,9215,9
785,5886,10904,785,785,9214,4
786,8875,-5775,786,786,9213,7
787,6768,-5302,4997,787,9212,9
788,3240,1738,788,788,9211,6
789,7351,-2116,789,789,9210,7
790,9940,-3058,790,790,9209,4
791,2214,7290,791,791,9208,7
792,6840,-493,792,792,9207,6
793,2285,-7672,793,793,9206,9
794,5868,11010,794,794,9205,2
795,2799,612,795,795,9204,3
